ID,C_perc,H_perc,N_perc,O_perc,S_perc
1257,26.13,11.8,53.21,8.71,0.16
1258,23.6,10.67,53.37,11.8,0.56
1259,24.94,11.32,53.81,9.7,0.23
1260,28.08,13.3,51.23,6.9,0.49
1261,25.66,12.29,52.69,9.09,0.29
1262,30.3,9.47,52.27,7.95,0.0
1263,26.38,12.69,52.65,8.28,0.0
1264,25.95,11.37,53.66,8.42,0.59
1265,24.97,14.09,53.96,6.98,0.0
1266,25.51,11.86,53.9,8.47,0.25
1267,26.24,12.89,52.72,7.3,0.85
1268,25.53,12.71,53.09,7.54,1.12
1269,27.34,13.56,51.99,6.89,0.22
1270,25.25,12.31,54.5,7.38,0.56
1271,26.43,12.37,53.15,7.88,0.17
1272,26.96,12.21,53.09,7.51,0.22
1273,26.47,14.8,50.98,6.82,0.92
1274,24.36,11.86,54.64,9.02,0.13
1275,24.59,11.42,54.56,9.11,0.33
1276,26.28,12.03,53.52,7.95,0.23
1277,25.54,10.39,55.41,8.66,0.0
1278,25.09,13.65,52.52,8.0,0.74
1279,24.8,13.49,53.81,7.49,0.41
1280,26.55,10.98,53.83,8.15,0.48
1281,26.7,12.32,52.61,7.95,0.42
1282,25.34,12.07,53.28,8.28,1.03
1283,26.74,13.48,51.82,6.96,0.99
1284,26.42,13.63,52.19,7.19,0.56
1285,30.61,8.16,51.02,10.2,0.0
1286,25.93,12.91,52.49,7.94,0.74
1287,26.63,11.76,53.97,7.44,0.2
1288,25.61,13.33,50.35,9.65,1.05
1289,25.58,13.12,53.89,6.82,0.59
1290,25.83,12.21,54.12,7.73,0.11
1291,26.25,11.58,53.7,8.37,0.11
1292,25.32,12.51,53.66,8.15,0.35
1293,25.35,10.31,54.6,9.75,0.0
1294,26.12,12.25,53.62,7.88,0.12
1295,26.62,13.09,50.94,8.47,0.88
1296,26.65,13.58,52.34,7.3,0.13
1297,25.09,13.47,52.78,7.79,0.87
1298,26.34,11.92,53.62,7.94,0.18
1299,25.78,12.58,53.95,7.59,0.1
1300,25.66,13.36,53.34,7.12,0.53
1301,26.86,14.04,52.19,6.92,0.0
1302,26.48,13.08,50.77,8.79,0.88
1303,25.72,12.48,53.37,8.38,0.06
1304,26.42,14.02,50.98,7.76,0.81
1305,26.64,12.1,51.88,9.01,0.38
1306,26.16,11.67,53.78,8.33,0.06
1307,27.61,13.0,52.3,6.92,0.17
1308,26.48,12.84,52.8,7.41,0.47
1309,26.21,12.72,51.86,8.33,0.88
1310,25.17,11.9,54.08,8.84,0.0
1311,30.43,11.3,51.3,5.22,1.74
1312,26.74,12.51,51.56,8.38,0.81
1313,31.11,9.63,54.07,5.19,0.0
1314,26.62,11.91,54.12,7.35,0.0
1315,27.54,9.18,56.04,7.25,0.0
1316,26.69,12.5,51.69,8.26,0.85
1317,26.08,11.89,54.56,7.37,0.09
1318,26.5,12.25,54.32,6.75,0.17
1319,25.68,13.26,52.61,7.52,0.94
1320,26.28,12.04,53.57,7.99,0.11
1321,26.17,13.29,51.59,8.28,0.67
1322,25.33,12.5,53.94,7.89,0.33
1323,26.18,12.43,51.96,8.64,0.79
1324,27.68,13.26,51.94,6.4,0.72
1325,26.97,12.08,53.65,7.3,0.0
1326,26.14,13.78,51.24,8.06,0.78
1327,26.79,11.1,53.49,8.13,0.48
1328,24.82,11.23,54.58,9.17,0.21
1329,25.15,14.97,50.9,8.08,0.9
1330,25.83,12.28,51.66,9.21,1.02
1331,26.43,13.69,52.17,7.45,0.26
1332,25.26,13.72,51.67,8.59,0.77
1333,26.58,13.37,53.05,6.74,0.27
1334,26.17,12.3,52.03,8.55,0.94
1335,26.21,13.33,51.53,8.02,0.9
1336,27.14,13.75,51.77,6.51,0.84
1337,26.59,12.83,51.13,8.62,0.82
1338,25.8,11.78,54.28,7.82,0.32
1339,24.79,13.71,53.56,7.43,0.51
1340,28.53,11.91,49.86,8.86,0.83
1341,25.53,11.61,54.22,8.16,0.48
1342,26.64,12.58,53.19,7.22,0.37
1343,26.46,12.5,52.26,7.71,1.06
1344,28.97,12.88,51.46,6.26,0.44
1345,27.59,11.86,52.92,6.97,0.66
1346,25.92,12.28,52.91,8.69,0.2
1347,27.2,11.92,53.68,6.48,0.72
1348,25.54,13.15,53.5,7.7,0.11
1349,25.4,15.08,53.09,6.35,0.09
1350,26.42,12.75,53.51,6.87,0.45
1351,25.14,13.0,53.29,7.78,0.79
1352,26.3,12.07,53.9,7.51,0.22
1353,27.93,13.56,51.8,6.52,0.2
1354,26.66,11.84,53.61,7.3,0.6
1355,25.87,12.15,52.68,8.36,0.95
1356,26.31,11.71,53.95,7.36,0.66
1357,26.43,12.01,53.25,7.99,0.32
1358,26.14,12.8,52.06,8.13,0.87
1359,25.82,10.48,53.6,9.73,0.37
1360,25.6,13.96,52.36,7.24,0.84
1361,25.94,14.04,51.45,7.72,0.86
1362,27.6,13.8,52.46,6.05,0.09
1363,25.84,13.24,52.42,7.88,0.63
1364,25.51,13.39,52.06,8.01,1.03
1365,25.03,14.18,53.9,6.9,0.0
1366,25.37,12.28,53.17,8.23,0.94
1367,25.65,13.31,52.38,7.79,0.87
1368,26.57,12.33,54.65,6.07,0.38
1369,27.51,12.52,52.61,7.3,0.06
1370,31.18,8.6,51.97,8.24,0.0
1371,26.41,12.77,52.89,7.72,0.22
1372,27.7,12.94,52.09,6.95,0.32
1373,27.14,13.15,53.02,5.86,0.84
1374,26.0,13.62,50.76,8.8,0.83
1375,26.34,9.16,54.96,9.54,0.0
1376,26.05,12.41,53.93,7.34,0.26
1377,25.48,12.28,53.23,8.37,0.64
1378,29.14,8.89,54.57,7.41,0.0
1379,26.04,12.56,51.04,9.33,1.04
1380,25.7,13.89,51.85,7.79,0.78
1381,25.92,14.26,51.65,7.38,0.8
1382,26.22,13.22,51.0,8.67,0.89
1383,25.15,12.54,53.71,8.53,0.07
1384,27.31,11.39,50.49,10.81,0.0
1385,26.6,12.26,54.72,6.04,0.38
1386,26.14,12.8,53.58,7.32,0.16
1387,26.1,12.77,52.74,7.92,0.47
1388,25.59,13.33,52.36,7.78,0.94
1389,26.89,11.06,53.09,8.47,0.5
1390,25.59,11.13,54.14,8.47,0.67
1391,26.96,12.67,52.21,7.48,0.68
1392,25.24,12.3,55.21,7.26,0.0
1393,26.63,12.9,51.08,8.57,0.83
1394,25.11,14.6,51.65,7.75,0.89
1395,23.63,12.64,51.65,12.09,0.0
1396,25.56,13.13,51.41,8.99,0.91
1397,25.55,13.14,53.14,7.71,0.45
1398,26.49,12.89,51.34,8.45,0.82
1399,26.21,13.45,51.64,7.8,0.9
1400,25.96,12.33,53.52,7.43,0.77
1401,24.37,13.26,52.69,8.96,0.72
1402,26.22,12.86,53.17,7.52,0.22
1403,27.95,11.89,53.26,6.38,0.51
1404,28.08,12.4,51.79,6.85,0.89
1405,26.0,11.58,53.25,8.5,0.67
1406,29.63,11.48,51.11,6.67,1.11
1407,26.32,12.14,53.15,7.95,0.45
1408,26.49,13.21,51.98,7.63,0.69
1409,26.14,12.71,52.86,7.83,0.46
1410,25.82,12.56,54.16,7.11,0.35
1411,26.35,12.76,52.83,7.58,0.48
1412,25.92,11.31,53.62,9.15,0.0
1413,26.06,13.59,51.37,8.24,0.74
1414,26.13,13.64,51.35,8.11,0.77
1415,25.73,12.14,54.05,8.09,0.0
1416,26.45,12.0,53.29,7.94,0.32
1417,26.08,9.87,55.44,8.61,0.0
1418,26.7,11.89,53.41,8.0,0.0
1419,27.27,10.0,54.55,8.18,0.0
1420,26.33,12.7,52.01,8.12,0.84
1421,26.15,12.03,53.41,8.15,0.25
1422,26.52,11.3,50.87,10.0,1.3
1423,26.66,11.51,53.27,8.45,0.1
1424,24.73,13.82,51.64,9.09,0.73
1425,26.58,13.11,52.65,7.07,0.59
1426,27.04,12.16,54.26,5.99,0.54
1427,24.62,12.37,52.41,9.42,1.18
1428,25.9,12.84,52.01,8.38,0.87
1429,25.47,13.03,53.22,8.21,0.07
1430,26.22,13.22,50.89,8.78,0.89
1431,27.39,11.97,53.49,6.63,0.52
1432,26.51,13.03,50.93,8.65,0.88
1433,26.05,13.99,52.01,7.8,0.16
1434,26.54,14.11,51.4,7.4,0.56
1435,28.06,12.78,51.67,7.5,0.0
1436,26.04,14.09,51.65,7.36,0.85
1437,25.53,11.19,54.02,8.7,0.57
1438,25.6,11.43,54.03,8.62,0.32
1439,26.78,12.38,52.85,7.2,0.79
1440,25.35,9.86,57.75,7.04,0.0
1441,24.58,14.0,53.18,7.7,0.54
1442,26.19,11.35,53.75,8.28,0.43
1443,25.64,12.79,53.49,7.73,0.35
1444,25.9,12.47,53.48,7.91,0.24
1445,24.44,12.09,54.27,8.02,1.18
1446,26.72,12.36,51.72,8.33,0.86
1447,26.18,13.26,53.06,7.15,0.34
1448,27.19,11.95,53.54,6.73,0.59
1449,25.86,13.62,51.9,8.06,0.56
1450,25.28,14.34,53.58,6.79,0.0
1451,24.48,9.96,55.6,9.96,0.0
1452,26.2,10.08,55.16,8.56,0.0
1453,29.06,13.3,49.75,7.88,0.0
1454,26.01,13.49,52.36,7.09,1.05
1455,25.5,13.98,52.17,7.29,1.06
1456,26.18,12.58,53.38,7.59,0.28
1457,25.37,13.06,53.19,8.38,0.0
1458,25.67,15.13,51.35,6.84,1.01
1459,25.59,13.5,51.83,8.53,0.56
1460,26.12,13.42,53.39,6.64,0.43
1461,27.45,12.16,50.98,9.02,0.39
1462,26.06,13.66,52.06,7.74,0.48
1463,24.8,12.5,53.25,8.43,1.02
1464,26.82,12.13,53.16,7.79,0.1
1465,25.63,10.39,55.2,8.78,0.0
1466,26.03,12.34,52.89,7.9,0.84
1467,26.59,11.22,53.85,8.09,0.24
1468,28.46,12.07,53.43,5.74,0.3
1469,26.07,14.04,51.19,8.02,0.67
1470,26.04,9.43,55.47,9.06,0.0
1471,26.52,11.72,53.26,8.34,0.16
1472,25.61,12.28,52.63,8.77,0.7
1473,25.81,12.61,52.4,9.01,0.17
1474,25.69,12.18,54.42,7.41,0.3
1475,26.48,12.11,52.39,8.45,0.56
1476,25.81,13.18,54.08,6.7,0.22
1477,26.79,11.83,51.45,9.26,0.67
1478,26.53,11.75,53.11,8.39,0.22
1479,26.55,13.12,51.03,8.47,0.83
1480,26.23,13.28,51.71,7.92,0.86
1481,25.22,12.09,54.21,8.37,0.1
1482,26.27,14.31,50.89,7.84,0.69
1483,26.07,13.2,52.26,7.7,0.77
1484,26.63,12.53,53.83,6.27,0.74
1485,26.46,12.54,53.26,7.57,0.17
1486,26.29,13.41,53.18,6.84,0.27
1487,25.1,12.74,54.0,8.0,0.16
1488,29.5,9.58,52.11,8.81,0.0
1489,24.96,13.26,53.31,7.67,0.81
1490,26.89,12.13,51.48,8.52,0.98
1491,25.7,14.18,52.09,7.33,0.7
1492,26.22,12.68,53.04,7.9,0.16
1493,26.41,12.99,52.99,7.45,0.16
1494,25.8,11.69,54.0,7.82,0.69
1495,26.37,12.03,53.44,7.85,0.32
1496,26.22,12.27,53.95,7.44,0.12
1497,26.72,13.28,52.93,6.84,0.23
1498,27.09,11.73,54.75,6.15,0.28
1499,26.72,13.39,51.98,7.67,0.24
1500,25.56,12.13,53.0,8.6,0.71
1501,24.61,10.79,54.21,9.74,0.66
1502,27.39,12.86,51.04,8.3,0.41
1503,29.87,7.79,52.6,9.74,0.0
1504,26.46,11.72,53.35,8.34,0.13
1505,26.39,13.82,50.74,8.04,1.02
1506,29.02,11.49,51.15,8.33,0.0
1507,25.98,11.12,53.69,8.72,0.48
1508,25.58,12.82,52.95,7.87,0.79
1509,25.81,11.41,52.11,9.68,0.99
1510,26.82,12.55,54.12,5.75,0.77
1511,26.29,11.68,53.72,8.17,0.14
1512,26.62,12.54,52.46,7.82,0.56
1513,26.14,12.72,52.75,7.61,0.78
1514,27.14,12.49,52.3,7.42,0.66
1515,26.38,13.01,53.0,7.19,0.42
1516,25.58,13.94,52.07,7.49,0.92
1517,25.26,11.49,54.04,8.74,0.47
1518,27.27,12.89,52.69,6.35,0.79
1519,26.05,12.57,54.04,7.28,0.06
1520,25.32,13.18,53.75,7.75,0.0
1521,25.17,10.92,54.73,8.66,0.53
1522,26.07,12.98,51.85,8.71,0.4
1523,26.05,11.74,53.49,8.47,0.25
1524,25.77,13.61,52.37,7.01,1.24
1525,24.89,13.42,53.54,7.65,0.5
1526,26.0,12.12,54.33,7.46,0.09
1527,26.29,12.75,51.97,7.86,1.14
1528,24.76,11.22,54.58,8.89,0.55
1529,27.51,13.13,51.46,7.72,0.18
1530,26.23,11.04,54.72,7.94,0.08
1531,26.11,13.61,52.02,7.26,1.01
1532,25.89,11.94,53.8,8.06,0.31
1533,26.73,13.71,51.85,6.61,1.1
1534,26.06,12.8,54.63,6.29,0.23
1535,26.86,12.87,53.01,7.05,0.2
1536,26.7,11.65,51.21,9.47,0.97
1537,27.04,12.42,53.34,7.05,0.15
1538,27.32,11.51,53.07,7.9,0.2
1539,26.83,13.37,51.94,7.14,0.72
1540,25.34,14.17,53.68,6.81,0.0
1541,31.67,8.67,51.0,8.67,0.0
1542,26.72,12.6,52.93,7.25,0.5
1543,26.33,14.95,50.53,7.83,0.36
1544,25.92,11.96,53.53,7.87,0.72
1545,25.07,11.43,53.72,9.09,0.69
1546,25.18,13.97,52.49,7.47,0.89
1547,25.29,11.82,54.27,8.37,0.25
1548,25.31,12.71,53.23,8.03,0.72
1549,25.98,13.15,52.97,7.59,0.31
1550,27.04,12.41,53.05,7.21,0.3
1551,26.77,13.0,52.32,7.14,0.77
1552,30.58,9.22,51.46,8.25,0.49
1553,26.32,13.42,51.68,8.58,0.0
1554,26.34,12.8,53.18,7.51,0.17
1555,25.0,9.38,56.25,9.38,0.0
1556,26.75,11.9,53.4,7.62,0.33
1557,26.18,12.95,53.22,6.96,0.69
1558,26.65,11.81,54.43,6.68,0.43
1559,26.71,11.59,53.95,7.52,0.23
1560,24.84,14.3,52.15,7.74,0.97
1561,27.88,9.29,54.28,8.55,0.0
1562,27.03,11.92,52.03,8.72,0.29
1563,25.89,11.93,51.27,9.9,1.02
1564,26.21,11.14,55.68,6.64,0.34
1565,25.59,12.83,53.08,8.44,0.07
1566,24.66,10.78,54.58,9.3,0.67
1567,25.66,12.73,53.43,7.62,0.56
1568,25.98,9.45,55.12,9.45,0.0
1569,25.99,12.54,53.68,7.72,0.07
1570,25.51,12.76,54.25,7.14,0.34
1571,27.76,13.67,51.66,6.91,0.0
1572,25.47,12.67,53.22,7.57,1.07
1573,26.09,12.2,53.74,7.85,0.12
1574,26.4,13.75,51.3,7.63,0.92
1575,24.87,13.85,50.64,9.36,1.28
1576,25.93,11.84,53.89,8.34,0.0
1577,26.25,12.05,54.53,7.16,0.0
1578,25.53,13.6,51.95,7.8,1.11
1579,25.71,13.72,52.03,7.72,0.81
1580,26.56,12.08,53.06,8.2,0.11
1581,26.78,12.97,51.83,7.64,0.77
1582,26.74,12.65,53.28,6.37,0.95
1583,26.67,12.76,52.99,6.87,0.71
1584,26.15,13.71,52.3,6.95,0.88
1585,25.47,11.26,54.02,8.58,0.67
1586,25.62,12.3,53.85,8.07,0.16
1587,26.16,12.96,52.24,7.95,0.69
1588,24.89,10.13,56.12,8.86,0.0
1589,26.54,13.39,53.32,6.4,0.35
1590,24.51,9.34,55.64,10.51,0.0
1591,27.94,11.49,52.22,8.36,0.0
1592,26.29,11.62,53.23,8.61,0.25
1593,24.29,14.09,53.19,7.9,0.53
1594,26.05,11.15,53.48,8.47,0.86
1595,25.33,15.76,52.83,6.09,0.0
1596,31.85,8.6,51.27,8.28,0.0
1597,26.79,12.05,54.0,6.49,0.67
1598,25.98,14.57,51.85,7.39,0.21
1599,26.21,13.31,52.52,7.26,0.71
1600,26.05,12.94,52.96,7.98,0.06
1601,27.02,12.59,53.12,6.71,0.55
1602,25.55,12.49,54.61,7.0,0.35
1603,26.38,13.5,51.84,7.67,0.61
1604,32.05,8.12,50.43,9.4,0.0
1605,25.76,13.7,53.39,6.85,0.3
1606,28.68,9.69,51.94,9.69,0.0
1607,26.1,11.93,53.96,7.83,0.19
1608,28.16,16.61,49.1,6.14,0.0
1609,26.42,10.88,55.18,7.51,0.0
1610,25.36,13.16,50.96,9.57,0.96
1611,25.94,12.76,52.48,7.88,0.94
1612,27.01,12.21,52.96,7.61,0.21
1613,27.43,12.0,54.0,6.57,0.0
1614,26.85,13.47,52.71,6.71,0.26
1615,25.78,13.57,51.86,8.2,0.59
1616,26.37,11.34,55.04,7.14,0.11
1617,25.45,14.18,51.94,7.46,0.97
1618,26.42,10.88,53.89,8.81,0.0
1619,27.07,12.97,52.54,6.85,0.56
1620,26.1,13.64,51.3,8.18,0.78
1621,25.8,12.68,53.5,7.77,0.25
1622,27.09,11.86,53.54,6.95,0.56
1623,26.31,13.28,52.15,7.39,0.87
1624,26.8,10.64,53.22,9.06,0.28
1625,27.07,12.12,53.29,6.86,0.66
1626,25.12,14.24,51.54,8.04,1.06
1627,25.52,12.38,53.42,7.93,0.76
1628,25.97,13.42,53.7,6.71,0.19
1629,26.88,12.9,52.88,6.74,0.59
1630,25.93,12.8,51.97,8.42,0.88
1631,26.22,13.22,50.89,8.78,0.89
1632,25.77,13.76,51.38,8.17,0.92
1633,25.94,11.8,54.33,7.7,0.23
1634,26.13,13.07,51.88,8.22,0.7
1635,26.72,12.83,53.56,6.65,0.24
1636,25.58,12.28,53.61,8.47,0.05
1637,24.59,10.49,55.74,9.18,0.0
1638,28.04,13.65,51.11,6.77,0.42
1639,27.37,12.55,52.86,6.9,0.31
1640,24.48,15.38,52.45,6.29,1.4
1641,32.9,7.82,51.14,8.14,0.0
1642,26.19,12.62,51.64,8.7,0.85
1643,26.19,13.48,51.48,8.09,0.77
1644,26.17,13.73,51.3,8.03,0.78
1645,25.56,13.72,52.74,7.44,0.54
1646,24.85,12.84,52.2,9.04,1.07
1647,24.41,13.25,51.71,9.71,0.92
1648,25.8,14.18,51.98,7.28,0.76
1649,26.15,11.62,53.5,8.29,0.43
1650,25.75,11.38,53.56,8.74,0.57
1651,26.2,13.88,51.23,7.91,0.78
1652,26.49,11.52,54.03,7.87,0.1
1653,26.57,12.14,53.07,8.16,0.07
1654,25.53,12.7,52.25,8.73,0.79
1655,26.15,13.08,52.08,8.0,0.69
1656,29.07,11.05,51.74,6.98,1.16
1657,30.08,11.33,51.17,6.64,0.78
1658,26.09,12.06,53.14,8.51,0.2
1659,26.62,12.79,52.72,7.28,0.59
1660,25.82,13.91,51.3,8.05,0.92
1661,26.27,13.08,52.36,7.43,0.86
1662,26.07,13.27,52.13,8.06,0.47
1663,26.51,13.57,51.41,7.79,0.72
1664,24.6,13.89,53.24,7.74,0.53
1665,27.88,13.87,51.18,7.07,0.0
1666,25.44,13.49,51.01,9.35,0.71
1667,26.2,12.89,52.81,6.86,1.25
1668,25.44,16.67,51.75,6.14,0.0
1669,25.08,13.36,53.09,8.14,0.33
1670,32.69,7.69,51.92,7.69,0.0
1671,27.21,13.58,52.01,7.02,0.18
1672,30.13,9.62,53.56,6.69,0.0
1673,24.75,11.37,53.85,9.03,1.0
1674,26.09,12.6,53.13,7.74,0.45
1675,26.3,14.3,52.22,6.96,0.23
1676,25.36,13.32,53.69,7.31,0.32
1677,27.67,11.0,53.0,8.33,0.0
1678,27.24,12.6,51.63,7.32,1.22
1679,26.23,12.93,52.46,7.94,0.44
1680,25.44,12.23,52.23,9.13,0.97
1681,25.48,13.88,53.19,6.97,0.48
1682,25.71,13.12,51.95,8.44,0.78
1683,25.9,12.1,54.49,7.43,0.07
1684,26.99,12.02,53.65,7.24,0.11
1685,26.43,11.7,54.47,7.2,0.2
1686,27.37,13.33,51.43,7.16,0.72
1687,25.2,12.64,53.74,8.36,0.07
1688,26.73,13.87,51.45,7.08,0.87
1689,25.59,12.45,52.35,9.29,0.31
1690,28.74,11.74,51.42,6.88,1.21
1691,26.98,11.75,52.06,8.57,0.63
1692,27.86,9.29,55.11,7.74,0.0
1693,26.63,12.9,51.29,8.36,0.83
1694,26.91,12.89,52.63,6.87,0.7
1695,24.94,14.11,51.64,8.56,0.76
1696,25.63,12.33,52.66,8.89,0.48
1697,25.54,12.81,52.64,8.14,0.87
1698,25.34,14.93,52.94,6.79,0.0
1699,25.23,11.16,54.45,8.63,0.53
1700,27.77,15.61,50.38,5.81,0.43
1701,25.46,14.04,50.93,8.95,0.62
1702,26.1,12.26,53.33,7.8,0.5
1703,25.73,13.51,51.94,7.87,0.94
1704,26.15,13.39,51.4,8.29,0.77
1705,26.51,12.99,50.94,8.73,0.83
1706,26.27,12.86,51.68,8.32,0.86
1707,27.73,12.76,52.8,5.97,0.73
1708,25.43,11.36,54.75,8.29,0.17
1709,26.55,9.63,54.11,9.7,0.0
1710,27.45,12.06,53.2,6.57,0.72
1711,31.33,8.0,52.0,8.67,0.0
1712,26.73,12.76,53.46,7.05,0.0
1713,27.95,12.8,51.85,6.85,0.54
1714,25.35,12.96,52.54,8.31,0.85
1715,26.55,13.33,52.05,8.01,0.06
1716,25.74,13.46,51.96,8.25,0.59
1717,26.18,12.29,53.25,7.86,0.41
1718,26.21,12.73,54.18,6.88,0.0
1719,26.22,13.51,50.96,8.4,0.91
1720,26.29,12.01,53.37,8.24,0.09
1721,26.63,12.56,52.82,7.15,0.84
1722,26.37,13.66,51.16,7.98,0.84
1723,25.79,13.09,52.72,7.45,0.96
1724,25.05,13.64,53.03,7.71,0.57
1725,25.44,13.49,51.01,9.35,0.71
1726,27.23,12.95,50.89,8.48,0.45
1727,25.3,12.95,52.23,8.93,0.6
1728,25.56,13.23,52.03,8.37,0.81
1729,27.27,13.09,51.79,7.59,0.25
1730,26.2,13.55,52.41,7.23,0.6
1731,26.63,12.8,51.32,8.43,0.81
1732,25.37,11.64,53.98,8.92,0.09
1733,25.97,13.16,53.69,6.83,0.35
1734,24.71,12.84,50.58,10.89,0.97
1735,27.59,12.5,51.72,7.33,0.86
1736,24.36,11.67,54.87,8.97,0.13
1737,25.69,11.59,54.5,8.13,0.09
1738,26.05,12.56,52.74,7.91,0.74
1739,25.26,13.7,51.82,8.67,0.56
1740,25.9,13.3,54.03,6.65,0.12
1741,25.95,13.09,52.52,7.65,0.79
1742,25.2,12.95,53.95,7.5,0.39
1743,26.34,12.12,53.99,7.26,0.29
1744,25.6,14.01,52.24,7.35,0.8
1745,26.52,13.34,53.21,6.76,0.17
1746,26.52,12.31,53.38,7.62,0.17
1747,30.89,9.15,50.11,9.84,0.0
1748,27.97,11.74,53.72,6.21,0.37
1749,24.83,12.08,55.7,7.38,0.0
1750,26.85,12.42,52.58,7.58,0.56
1751,25.99,12.91,52.5,7.81,0.79
1752,25.4,13.41,52.75,7.97,0.47
1753,27.86,13.55,50.77,7.27,0.55
1754,25.03,14.11,53.94,6.92,0.0
1755,26.58,13.83,51.01,8.19,0.4
1756,25.66,12.19,53.57,8.42,0.15
1757,26.45,13.28,51.23,8.15,0.89
1758,24.74,14.14,54.26,6.86,0.0
1759,25.79,12.11,53.03,8.23,0.85
1760,26.3,13.21,51.05,8.55,0.89
1761,25.55,13.56,52.35,7.51,1.04
1762,23.62,13.78,51.97,9.45,1.18
1763,25.28,14.12,52.62,7.06,0.91
1764,26.19,12.15,54.46,7.2,0.0
1765,26.52,14.54,50.93,7.31,0.7
1766,25.87,11.19,55.24,7.23,0.47
1767,24.51,14.05,51.27,8.67,1.49
1768,27.05,12.05,53.41,7.05,0.45
1769,26.67,13.79,52.19,6.94,0.41
1770,24.67,14.8,52.3,8.22,0.0
1771,26.12,10.49,54.69,8.48,0.22
1772,27.16,12.11,54.33,5.88,0.52
1773,26.73,12.15,53.29,7.68,0.17
1774,26.55,12.15,53.66,7.16,0.48
1775,26.58,12.73,52.75,7.03,0.92
1776,26.86,13.14,51.39,7.74,0.88
1777,27.52,10.63,54.22,7.63,0.0
1778,26.71,13.13,52.96,6.9,0.3
1779,24.87,12.18,54.82,8.12,0.0
1780,26.06,13.22,51.35,8.86,0.51
1781,27.16,9.88,53.09,9.88,0.0
1782,25.79,12.1,53.79,8.26,0.06
1783,26.97,12.11,53.16,7.54,0.22
1784,24.83,14.35,51.71,7.97,1.14
1785,25.8,12.32,52.84,8.51,0.53
1786,29.8,9.8,52.65,7.76,0.0
1787,25.6,12.33,53.29,8.25,0.52
1788,25.54,12.49,53.46,7.6,0.91
1789,26.93,11.78,53.28,7.43,0.58
1790,26.46,12.53,53.8,6.93,0.29
1791,28.17,8.73,54.37,8.73,0.0
1792,27.57,12.48,52.97,6.65,0.33
1793,26.98,13.29,51.88,7.24,0.6
1794,26.41,11.56,53.97,7.93,0.13
1795,27.18,13.91,52.0,6.73,0.18
1796,26.88,12.78,53.15,6.39,0.79
1797,27.82,10.53,54.14,7.52,0.0
1798,26.6,13.66,52.15,7.47,0.11
1799,25.75,11.38,52.89,9.18,0.8
1800,25.55,13.39,53.93,6.88,0.25
1801,25.97,11.79,54.58,7.65,0.0
1802,25.87,12.93,51.96,8.37,0.87
1803,27.15,13.74,50.05,8.18,0.87
1804,26.06,13.03,53.3,6.99,0.63
1805,24.51,13.98,51.43,8.57,1.5
1806,27.08,12.34,52.72,7.21,0.64
1807,26.62,11.19,51.99,9.2,1.0
1808,26.36,12.58,54.9,6.17,0.0
1809,26.0,12.06,54.17,7.71,0.06
1810,25.27,10.75,53.76,9.68,0.54
1811,26.68,12.76,52.77,7.6,0.19
1812,26.1,13.95,51.68,7.36,0.9
1813,26.41,11.82,53.28,7.85,0.65
1814,26.29,11.69,54.18,7.04,0.8
1815,25.91,12.15,54.18,7.6,0.16
1816,26.65,12.58,53.54,6.53,0.71
1817,24.89,14.04,51.7,8.51,0.85
1818,25.82,12.41,52.53,8.48,0.76
1819,26.08,12.69,52.37,8.26,0.6
1820,26.96,13.37,52.26,6.76,0.65
1821,27.07,13.89,52.22,6.59,0.22
1822,27.85,11.71,52.91,7.04,0.49
1823,24.3,11.76,54.6,9.34,0.0
1824,25.53,12.2,53.2,8.93,0.13
1825,26.98,14.19,52.36,6.21,0.26
1826,25.32,14.94,53.57,6.17,0.0
1827,28.51,8.14,53.85,9.5,0.0
1828,26.29,11.45,53.7,8.44,0.13
1829,27.4,10.87,54.06,7.59,0.07
1830,25.88,12.49,53.47,8.16,0.0
1831,25.86,14.45,51.62,7.28,0.79
1832,26.44,12.3,53.56,7.53,0.17
1833,25.98,12.07,54.01,7.88,0.07
1834,25.59,13.21,51.73,8.72,0.75
1835,27.6,11.92,53.09,6.94,0.45
1836,27.27,12.01,53.95,6.26,0.51
1837,26.99,11.57,55.18,6.02,0.24
1838,25.7,11.3,54.42,8.27,0.32
1839,26.47,12.09,53.66,7.67,0.12
1840,25.59,13.18,53.46,7.22,0.54
1841,25.38,11.63,54.13,8.37,0.48
1842,25.8,14.18,51.59,7.5,0.92
1843,25.46,14.04,50.93,8.95,0.62
1844,26.25,13.86,51.02,7.95,0.91
1845,25.56,14.02,51.9,7.75,0.77
1846,25.93,12.62,54.67,6.54,0.23
1847,24.35,12.04,54.31,8.34,0.96
1848,27.01,11.33,53.49,8.17,0.0
1849,25.18,11.45,54.32,8.84,0.21
1850,25.79,12.26,53.08,8.67,0.21
1851,27.08,12.59,53.17,6.43,0.72
1852,25.53,14.5,50.56,8.43,0.99
1853,25.32,13.54,52.31,8.44,0.39
1854,25.97,11.52,52.88,9.19,0.44
1855,25.81,12.12,53.65,8.36,0.06
1856,25.6,13.11,52.45,7.94,0.89
1857,25.96,14.08,51.93,7.09,0.94
1858,25.65,13.26,52.61,7.5,0.98
1859,26.14,12.24,53.66,7.82,0.14
1860,26.11,10.62,54.42,7.52,1.33
1861,26.08,11.65,53.46,8.55,0.27
1862,26.2,11.86,53.41,8.38,0.15
1863,26.12,13.23,51.46,8.3,0.9
